Tvrtka,Email,Status_emaila,URL,Segment,Grad,Drzava,Jezik,Proizvod,Prioritet,Napomena
Irundo,info@irundo.com,potvrden,https://irundo.com/prijavite-smjestaj,HR - upravljanje apartmanima,Split/Zadar,HR,HR,P1,visok,"Vise gradova; profesionalno upravljanje. Oprez: na /upravljanje-smjestajem/zadar snippet je pokazao skraceno 'nici@irundo.com' - to je odsjecak, NE koristiti"
Heros plus d.o.o.,info@homerent.agency,potvrden,https://herosplus.hr/hr/,HR - upravljanje apartmanima,Split,HR,HR,P1,visok,Vile i kuce za odmor; adresa navedena na naslovnici
Rent-a-Home,info@rent-a-home.hr,potvrden,https://rent-a-home.hr/,HR - upravljanje apartmanima,Zadar,HR,HR,P1,visok,Vodjenje i odrzavanje nekretnina
Interhome Trogir,trogir@interhome.group,potvrden,https://www.interhome.group/hr-hr/myhome/odredista/split-agencija-za-iznajmljivanje,HR - upravljanje apartmanima,Trogir,HR,HR,P1,nizak,Velika korporacija (HHD AG) - odluka nije lokalna, slabe sanse
Interhome Zadar,zadar@interhome.group,potvrden,https://www.interhome.group/hr-hr/myhome/odredista/zadar-agencija-za-iznajmljivanje,HR - upravljanje apartmanima,Zadar,HR,HR,P1,nizak,Isto - korporacija
Agencija Turist Split,,treba_provjeriti,https://agencijaturist.com/,HR - upravljanje apartmanima,Split,HR,HR,P1,visok,Specijalizirani za upravljanje privatnim smjestajem - dobra meta
Adiona Travel,,treba_provjeriti,https://adionatravel.hr/vodjenje-i-oglasavanje-apartmana-split/,HR - upravljanje apartmanima,Split,HR,HR,P1,visok,Vodjenje i oglasavanje apartmana; tel +385 21 642 855
Ketrin Nekretnine,,treba_provjeriti,https://www.ketrinrealestate.com/usluge/stranica-171,HR - upravljanje apartmanima,Split,HR,HR,P1,srednji,Upravljanje nekretninama + briga o gostima
Dalmacija Agent,,treba_provjeriti,https://dalmacija-agent.hr/,HR - upravljanje apartmanima,Zadar,HR,HR,P1,srednji,OIB 43236583314 - registrirana tvrtka
Apartmani Zadar,,treba_provjeriti,https://apartmanizadar.hr/,HR - upravljanje apartmanima,Zadar,HR,HR,P1,visok,Specijalizirani za vodjenje apartmana
Brand Apartment Care,,treba_provjeriti,https://www.brand-apartment-care.hr/hr,HR - upravljanje apartmanima,Zadar,HR,HR,P1,srednji,Upravljanje i odrzavanje; tel +385 91 765 9665
Rentergo / Zadar Center Apartments,,treba_provjeriti,https://zadarcenterapartments.com/partners/,HR - upravljanje apartmanima,Zadar,HR,HR,P1,srednji,Posredovanje u iznajmljivanju
A Design,,treba_provjeriti,https://adesign.hr/vodenje-smjestaja/,HR - upravljanje apartmanima,Split/Zagreb/Pula,HR,HR,P1,srednji,Vise gradova; tel +385 97 6708 458
Resort Rentals Algarve,,treba_provjeriti,https://www.resortrentalsalgarve.com/en/,INT - property management,Lagos,PT,EN,P1,visok,Holiday rentals + management western Algarve
Shirley Dunne,,treba_provjeriti,https://shirleydunne.com/,INT - property management,Algarve,PT,EN,P1,visok,Holiday rentals + property management
Rental Valley,,treba_provjeriti,https://www.rentalvalley.com/,INT - property management,-,PT,EN,P1,srednji,Radi diljem europskih obala
Monte Rentals,,treba_provjeriti,https://monte-rentals.com/,INT - property management,Algarve,PT,EN,P1,visok,"Boutique; AL licence, Airbnb listings, guest care - guest care = tocna bol za P1"
